cwe_key,cwe_name,cwe_description
CWE-1004,CWE-1004,CWE-1004 | CWE-1004 - Sensitive Cookie Without HttpOnly Flag | CWE-1004 Cookie Without 'HttpOnly' Flag | CWE-1004 Sensitive Cookie Without 'HttpOnly' Flag | CWE-1004: Sensitive Cookie Without 'HttpOnly' Flag | CWE-1004: Sensitive Cookie Without HttpOnly Flag
CWE-1007,CWE-1007,CWE-1007 Insufficient Visual Distinction of Homoglyphs Presented to User | CWE-1007: Insufficient Visual Distinction of Homoglyphs Presented to User | Inappropriate implementation
CWE-1018,CWE-1018,CWE-1018 Manage User Sessions | Manage User Sessions
CWE-102,CWE-102,CWE-102 Struts: Duplicate Validation Forms
CWE-1021,CWE-1021,CWE-1021 | CWE-1021 - Improper Restriction of Rendered UI Layers or Frames | CWE-1021 Improper Restriction of Rendered UI Layers | CWE-1021 Improper Restriction of Rendered UI Layers or Frames | CWE-1021 Protection Mechanism Failure | CWE-1021: Improper Restriction of Rendered UI Layers or Frames | Clickjacking (CWE-1021) | IMPROPER RESTRICTION OF RENDERED UI LAYERS OR FRAMES CWE-1021 | Improper Restriction of Rendered UI Layers | Improper Restriction of Rendered UI Layers or Frames | Improper Restriction of Rendered UI Layers or Frames (CWE-1021) | Improper restriction of rendered UI layers or frames | Inappropriate implementation
CWE-1022,CWE-1022,CWE-1022 Use of Web Link to Untrusted Target with window.opener Access | CWE-1022: Use of Web Link to Untrusted Target (Reverse Tabnabbing) | CWE-1022: Use of Web Link to Untrusted Target with window.opener Access
CWE-1023,CWE-1023,CWE-1023 | CWE-1023 Incomplete Comparison with Missing Factors | CWE-1023: Incomplete Comparison with Missing Factors
CWE-1024,CWE-1024,CWE-1024 Comparison of Incompatible Types | CWE-1024: Comparison of Incompatible Types
CWE-1025,CWE-1025,CWE-1025 Comparison Using Wrong Factors | CWE-1025: Comparison Using Wrong Factors | Comparison Using Wrong Factors
CWE-1026,CWE-1026,CWE-1026
CWE-1027,CWE-1027,[CWE-1027|https://cwe.mitre.org/data/definitions/1027.html]
CWE-1032,CWE-1032,CWE-1032
